TABLE NO.     1: MCMC Bayesian Analysis: Goal Function=AVERAGE VALUE OF LIKELIHOOD FUNCTION: Problem=1 Subproblem=0 Superproblem1=0 Iteration1=0 Superproblem2=0 Iteration2=0
 ITERATION    THETA1       THETA2       THETA3       THETA4       THETA5       THETA6       SIGMA(1,1)   SIGMA(2,1)   SIGMA(2,2)   OMEGA(1,1)   OMEGA(2,1)   OMEGA(2,2)   OMEGA(3,1)   OMEGA(3,2)   OMEGA(3,3)   OMEGA(4,1)   OMEGA(4,2)   OMEGA(4,3)   OMEGA(4,4)   MCMCOBJ
        -4953 -4.62364E-01  5.69465E+00  1.02917E+00  7.01550E-01 -1.15689E+01  4.12396E+00  1.05833E+03  0.00000E+00  2.09105E+03  7.15039E-02  0.00000E+00  9.82804E-02  0.00000E+00  6.28052E-02  1.54074E-01  0.00000E+00  3.73555E-01  6.21950E-01  6.15620E+00    4575.6093526533368
        -4952 -4.62364E-01  5.69465E+00  1.02917E+00  7.01550E-01 -1.15689E+01  3.85001E+00  7.66732E+02  0.00000E+00  1.84039E+03  7.56822E-02  0.00000E+00  1.05029E-01  0.00000E+00  8.16200E-02  1.75129E-01  0.00000E+00  3.66528E-01  6.36086E-01  4.97038E+00    4656.2237195909338
        -4951 -4.60531E-01  5.69465E+00  1.02917E+00  7.01550E-01 -1.15689E+01  4.12142E+00  1.01197E+03  0.00000E+00  2.13229E+03  7.94563E-02  0.00000E+00  1.03550E-01  0.00000E+00  8.67562E-02  1.83520E-01  0.00000E+00  3.75680E-01  6.94574E-01  5.20481E+00    4691.7768601039088
          -50 -5.79739E-01  5.90247E+00  9.26409E-01  4.81825E-01 -1.15168E+01  5.10096E+00  1.48479E+03  0.00000E+00  2.00889E+03  8.41887E-03  0.00000E+00  1.00455E-01  0.00000E+00  5.68177E-02  4.96759E-02  0.00000E+00  5.47019E-02  1.27892E-01  5.69552E+00    3777.8245143216509
          -49 -5.82062E-01  5.89203E+00  9.27253E-01  5.12704E-01 -1.15323E+01  5.06230E+00  9.60709E+02  0.00000E+00  2.12395E+03  8.68925E-03  0.00000E+00  9.97882E-02  0.00000E+00  5.63420E-02  4.75255E-02  0.00000E+00  4.72733E-02  1.12619E-01  6.00848E+00    3792.3987500896492
          -48 -6.08432E-01  5.87516E+00  9.27161E-01  4.89437E-01 -1.15098E+01  6.94134E+00  1.30717E+03  0.00000E+00  1.80453E+03  7.06529E-03  0.00000E+00  1.11369E-01  0.00000E+00  6.33339E-02  5.14498E-02  0.00000E+00  2.52407E-02  1.16010E-01  5.47996E+00    3666.7780453985738
          -47 -6.14373E-01  5.86399E+00  9.27896E-01  4.55562E-01 -1.15190E+01  6.82876E+00  1.46254E+03  0.00000E+00  2.21370E+03  7.12924E-03  0.00000E+00  1.04051E-01  0.00000E+00  5.74170E-02  4.53115E-02  0.00000E+00  2.16490E-03  8.12695E-02  4.18033E+00    3684.9373712856222
          -46 -5.67027E-01  5.90251E+00  9.26852E-01  4.92482E-01 -1.15903E+01  5.65115E+00  9.00015E+02  0.00000E+00  2.25875E+03  6.37587E-03  0.00000E+00  1.16345E-01  0.00000E+00  6.04872E-02  4.90506E-02  0.00000E+00  4.13381E-02  1.28990E-01  4.05258E+00    3683.2938695242824
          -45 -6.05076E-01  5.87414E+00  9.27245E-01  4.77857E-01 -1.15157E+01  5.50201E+00  9.79763E+02  0.00000E+00  2.04841E+03  5.91957E-03  0.00000E+00  1.46369E-01  0.00000E+00  7.99423E-02  5.79710E-02  0.00000E+00  2.17549E-02  9.69805E-02  3.47893E+00    3726.5517879714580
          -44 -6.08227E-01  5.86882E+00  9.25902E-01  4.05900E-01 -1.15233E+01  5.54303E+00  1.19134E+03  0.00000E+00  2.14167E+03  6.28252E-03  0.00000E+00  1.45210E-01  0.00000E+00  7.84406E-02  5.80744E-02  0.00000E+00  5.19415E-02  1.22793E-01  4.06535E+00    3720.9134766330058
          -43 -6.23732E-01  5.85001E+00  9.27041E-01  4.16006E-01 -1.15178E+01  5.42635E+00  1.22593E+03  0.00000E+00  1.96168E+03  6.90615E-03  0.00000E+00  1.44331E-01  0.00000E+00  8.55718E-02  6.88328E-02  0.00000E+00  2.87363E-02  1.34806E-01  4.05719E+00    3726.7459179256798
          -42 -6.26118E-01  5.85219E+00  9.27421E-01  4.28169E-01 -1.14760E+01  5.49451E+00  9.92585E+02  0.00000E+00  2.14129E+03  6.22320E-03  0.00000E+00  1.77076E-01  0.00000E+00  1.09406E-01  8.63032E-02  0.00000E+00  1.32998E-01  2.34205E-01  4.97871E+00    3781.3459479838370
